成员,时间,内容
Cheng,2025-12-01 12:45:32,超了召回率会下降
Morty,2025-12-01 12:48:07,我怎么看到gemini的api要走ai studio中专啊
Morty,2025-12-01 12:48:21,有办法直接拿到gemini的api嘛
Cheng,2025-12-01 12:48:25,是的
Cheng,2025-12-01 12:48:45,嫖别人的反代项目
Morty,2025-12-01 12:50:04,那有办法agent嘛
Cheng,2025-12-01 12:52:12,没试过
Cheng,2025-12-01 13:00:09,@Efímero 我可以和你说说话嘛？
Cheng,2025-12-01 13:14:53,@Efímero 两送？
Cheng,2025-12-01 13:15:13,人呢你俩
Wang,2025-12-01 13:15:57,在楼下
Wang,2025-12-01 13:16:01,马上到食堂
Sev,2025-12-02 18:21:11,不错不错
Sev,2025-12-02 18:21:15,我认可你的xp
Bao,2025-12-02 19:49:02,你简直就是我的神
Evelyn,2025-12-02 19:51:18,[可怜][可怜]
Cheng,2025-12-05 15:02:22,冲绳好地方啊，美少女very 吆西
Bao,2025-12-06 13:53:26,学计算机学的
Cheng,2025-12-06 16:30:43,@话痨用户 催眠你
Gao,2025-12-06 16:31:17,你能不能催眠我让我GPA突破3.0
Bao,2025-12-06 16:31:29,你要冲击墨尔本大学吗
Cheng,2025-12-06 16:33:25,其实我在攻略你们
Cheng,2025-12-06 16:36:31,啥意思啊？重庆人解释一下
Bao,2025-12-06 16:37:59,@Efímero
Evelyn,2025-12-06 16:38:47,“我要去过中山妹妹过生日”
Cheng,2025-12-06 16:38:59,闹麻了
Bao,2025-12-06 16:39:15,我彻底的输了
Bao,2025-12-06 16:39:19,输的彻彻底底
Cheng,2025-12-06 16:40:49,别卷了
Cheng,2025-12-06 16:40:55,出来聊会天吧
Wang,2025-12-06 16:41:06,是的程哥
Wang,2025-12-06 16:41:07,别卷了
Wang,2025-12-06 16:41:20,别卷了崔姐
Cheng,2025-12-06 16:41:52,@Efímero 王哥，你再卷，我就要控制你了
Wang,2025-12-06 16:43:34,我都认真听课了
Wang,2025-12-06 16:43:35,为什么还要考试
Wang,2025-12-06 16:43:40,学校和学生之间的信任呢
Wang,2025-12-06 16:43:46,直接给我4.0不行了吗
Bao,2025-12-06 16:44:58,你有本事去催眠老师
Bao,2025-12-06 16:45:03,催眠王哥算什么本事
Bao,2025-12-06 16:45:13,催眠老师全给我们4.0
Bao,2025-12-06 16:50:42,我乃大专巅峰
Gao,2025-12-06 20:19:11,20%的关键工作可以达成80%的进度
Bao,2025-12-06 20:20:40,60分比100分重要
Bao,2025-12-06 20:20:44,是吧
Gao,2025-12-06 20:20:50,不是
Bao,2025-12-06 20:20:50,我记得还有这个
Gao,2025-12-06 20:21:04,是80分全是20%的重点
Gao,2025-12-06 20:21:17,剩下20分是80%的剩下的范围
Gao,2025-12-06 20:21:21,应该是这个吧
Bao,2025-12-06 20:21:29,nonono，我是说跟着28法则的一般还有一句60分比100分重要
Gao,2025-12-06 20:21:30,司徒的课这块
Cheng,2025-12-06 20:22:59,你们怎么都会
Cheng,2025-12-06 20:23:04,我怎么没学过这个？
Cheng,2025-12-06 20:23:56,这是哪一门？
Gao,2025-12-06 20:24:07,PM
Bao,2025-12-06 20:26:47,你们都是大神
Bao,2025-12-06 20:26:58,我是随风而去的灰尘
Bao,2025-12-06 20:27:00,不追求这些
Cheng,2025-12-06 20:27:23,你们都是大神
Cheng,2025-12-06 20:27:24,我是随风而去的灰尘
Cheng,2025-12-06 20:27:24,不追求这些
Wang,2025-12-06 20:49:00,人生的意义莫过于此
Cheng,2025-12-06 20:52:01,@小七 教练，我想学摄影
Wang,2025-12-06 20:52:52,？
Wang,2025-12-06 20:53:18,今天崔姐太卷了把我气到了
Wang,2025-12-06 20:53:22,必须吃一顿好的犒劳自己
Cheng,2025-12-06 20:53:56,王哥，我好久没和女生说话了，你能教教我怎么和妹子说话吗？
Sev,2025-12-06 20:54:08,你一说这个
Sev,2025-12-06 20:54:14,昨天去吃烤肉
Sev,2025-12-06 20:54:50,旁边那个桌女生很好看
Sev,2025-12-06 20:54:52,然后
Sev,2025-12-06 20:55:06,好几个店员就勇敢上去要微信
Sev,2025-12-06 20:55:25,所以
Sev,2025-12-06 20:55:32,勇敢的人先享受世界
Sev,2025-12-06 20:55:37,你直接上去
Sev,2025-12-06 20:55:39,oi
Sev,2025-12-06 20:55:48,小妹妹一个人玩微信害怕吗
Sev,2025-12-06 20:55:58,我来保护你
Bao,2025-12-06 20:56:24,你怎么不上去要
Sev,2025-12-06 20:56:36,不敢喵
Bao,2025-12-06 20:56:43,有多好看
Cheng,2025-12-06 20:56:43,使用你的超绝气泡音啊
Cheng,2025-12-06 20:56:44,小七
Sev,2025-12-06 20:56:48,那算了
Sev,2025-12-06 20:57:20,我还是继续当我的老鼠人吧
Cheng,2025-12-06 20:58:21,你是老鼠
Cheng,2025-12-06 20:58:28,那我是什么？
Cheng,2025-12-06 20:58:42,哥布林小鼠吗？
Sev,2025-12-06 21:00:18,你可以努力完成你的梦想
Sev,2025-12-06 21:00:24,比如说当一个小南娘
Cheng,2025-12-06 21:01:18,收到
Cheng,2025-12-06 21:01:30,心理怎么没有作业答案和考试答案？
Cheng,2025-12-06 21:01:35,傻逼东西
Bao,2025-12-06 21:04:04,心理重点发我一份
Cheng,2025-12-06 21:04:11,没有
Cheng,2025-12-06 21:04:23,作业连答案都没有
